caseType,queryId,query,shelf,anchorBookId,anchorTitle,latencyMs,precisionAtK,recallAtK,ndcgAt10,error
overview-shelf,q063,compare H. G. Wells classic science fiction books,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q064,比较恐怖小说 The Chalk Man 和 Pine,popular,,,,0.0,0.0,-0.0,
overview-shelf,q064,比较恐怖小说 The Chalk Man 和 Pine,preferences,,,,0.1,0.08333333333333333,0.07839826897867533,
overview-shelf,q065,比较习惯养成和自我探索类书,popular,,,,0.0,0.0,-0.0,
overview-shelf,q065,比较习惯养成和自我探索类书,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q066,科幻阅读路径 从经典到现代,popular,,,,0.0,0.0,-0.0,
overview-shelf,q066,科幻阅读路径 从经典到现代,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q067,简奥斯汀阅读顺序,popular,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q067,简奥斯汀阅读顺序,preferences,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q068,恐怖小说入门阅读路径,popular,,,,0.0,0.0,-0.0,
overview-shelf,q068,恐怖小说入门阅读路径,preferences,,,,0.1,0.08333333333333333,0.07839826897867533,
overview-shelf,q069,自我管理和习惯养成阅读路径,popular,,,,0.0,0.0,-0.0,
overview-shelf,q069,自我管理和习惯养成阅读路径,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q070,数学入门阅读顺序,popular,,,,0.1,0.08333333333333333,0.06943122193677727,
overview-shelf,q070,数学入门阅读顺序,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q081,找关于阅读和社区温情的小说,popular,,,,0.0,0.0,-0.0,
overview-shelf,q081,找关于阅读和社区温情的小说,preferences,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q082,寻找晚年爱情主题的当代小说,popular,,,,0.1,0.08333333333333333,0.22009176629808017,
overview-shelf,q082,寻找晚年爱情主题的当代小说,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q083,找带有怀旧音乐元素的爱情小说,popular,,,,0.0,0.0,-0.0,
overview-shelf,q083,找带有怀旧音乐元素的爱情小说,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q084,寻找关于克隆技术伦理的科幻,popular,,,,0.0,0.0,-0.0,
overview-shelf,q084,寻找关于克隆技术伦理的科幻,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q085,寻找关于生物技术的科幻小说,popular,,,,0.0,0.0,-0.0,
overview-shelf,q085,寻找关于生物技术的科幻小说,preferences,,,,0.2,0.16666666666666666,0.15850703974098102,
overview-shelf,q086,查找动作冒险类图书,popular,,,,0.0,0.0,-0.0,
overview-shelf,q086,查找动作冒险类图书,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q087,查找儿童或青少年适合的故事,popular,,,,0.0,0.0,-0.0,
overview-shelf,q087,查找儿童或青少年适合的故事,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q088,历史类日本主题图书,popular,,,,0.0,0.0,-0.0,
overview-shelf,q088,历史类日本主题图书,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q089,足球运动员传记,popular,,,,0.0,0.0,-0.0,
overview-shelf,q089,足球运动员传记,preferences,,,,0.0,0.0,-0.0,
overview-shelf,q090,拳击冠军 运动 女性,popular,,,,0.0,0.0,-0.0,
overview-shelf,q090,拳击冠军 运动 女性,preferences,,,,0.0,0.0,-0.0,
similar-recommendation,,,,13,Robot（test）,20.365000000000002,0.6,0.2857142857142857,0.727329844310522,
similar-recommendation,,,,14,The Every,20.9016,0.6,0.2857142857142857,0.727329844310522,
similar-recommendation,,,,15,Player Piano,19.839,0.6,0.2857142857142857,0.727329844310522,
similar-recommendation,,,,16,Appliance,20.3092,0.7,0.3181818181818182,0.800693766409882,
similar-recommendation,,,,17,The Book of Sand,21.7366,0.6,0.2857142857142857,0.727329844310522,
similar-recommendation,,,,18,The War of the Worlds,20.634900000000002,0.6,0.2857142857142857,0.727329844310522,
similar-recommendation,,,,19,The Invisible Man,26.7284,1.0,0.2631578947368421,1.0,
similar-recommendation,,,,20,Eve of Man,17.8263,0.6,0.2857142857142857,0.727329844310522,
similar-recommendation,,,,21,A Star Wars Story,19.4091,0.6,0.2857142857142857,0.727329844310522,
similar-recommendation,,,,22,Doctor Who: Molten Heart,23.4171,0.8,0.34782608695652173,0.8701249883466593,
similar-recommendation,,,,23,The Year of the Witching,24.8625,1.0,0.37037037037037035,1.0,
similar-recommendation,,,,24,Pine,24.916,1.0,0.37037037037037035,1.0,
similar-recommendation,,,,25,Cat out of Hell,20.5183,1.0,0.37037037037037035,1.0,
similar-recommendation,,,,26,The Chalk Man,15.591199999999999,0.6,0.23076923076923078,0.727329844310522,
similar-recommendation,,,,27,The Woman in Black,21.3554,0.6,0.23076923076923078,0.727329844310522,
similar-recommendation,,,,28,Frankenstein,20.5412,1.0,0.37037037037037035,1.0,
similar-recommendation,,,,29,The Murders in the Rue Morgue,21.9658,0.9,0.3103448275862069,0.9363792118010483,
similar-recommendation,,,,30,Ghost Stories,19.657500000000002,1.0,0.37037037037037035,1.0,
similar-recommendation,,,,31,Zone One,21.0189,1.0,0.37037037037037035,1.0,
similar-recommendation,,,,32,The Haunting of Hill House,20.429699999999997,0.6,0.23076923076923078,0.727329844310522,
similar-recommendation,,,,33,Dracula,19.2727,0.6,0.6666666666666666,0.7767471075223497,
similar-recommendation,,,,34,One Hundred Years of Solitude,13.4961,0.6,0.6666666666666666,0.7767471075223497,
similar-recommendation,,,,35,War And Peace,12.9666,0.6,0.6666666666666666,0.7767471075223497,
similar-recommendation,,,,36,To Kill A Mockingbird,13.5364,0.6,0.6666666666666666,0.7767471075223497,
similar-recommendation,,,,37,A Clockwork Orange,18.4783,0.6,0.6666666666666666,0.7767471075223497,
